Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
91;   ;2021;;Projeto de Lei;;João Wagner;;Dispõe sobre a obrigatoriedade de apresentação do cartão de vacinação contra a Covid-19 nos locais que prestam serviços ao público para a obtenção de serviços, no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
90;   ;2021;;Projeto de Lei;;Nilton Militão;;Dispõe sobre a inclusão de medidas de conscientização, prevenção e combate à automutilação e ao suicídio no projeto pedagógico das escolas municipais e dá outras providências.;;Em Tramitação
;;;;;;;;;;
89;   ;2021;;Projeto de Lei;;Nilton Militão;;Assegura à criança e ao adolescente cujos pais ou responsáveis sejam pessoas com deficiência ou com idade igual ou superior a 60 (sessenta) anos a máxima prioridade de vaga em unidade da rede pública municipal de ensino mais próxima de sua residência.;;Em Tramitação
;;;;;;;;;;
88;   ;2021;;Projeto de Lei;;Sargento Mello Casal, Bejani Júnior, Tiago Bonecão;;Dispõe sobre a prestação dos serviços de atividades educacionais no Município de Juiz de Fora, em situação de emergência ou estado de calamidade em decorrência de crise sanitária ou de saúde pública.;;Em Tramitação
;;;;;;;;;;
87;   ;2021;;Projeto de Lei;;Cido Reis;;Dispõe sobre denominação de logradouro público. (Rua Altair Fernandes da Mota);;Em Tramitação
;;;;;;;;;;
86;   ;2021;;Projeto de Lei;;Cido Reis;;Dispõe sobre denominação de Logradouro Público (Travessa Gilson Quintão Coelho);;Em Tramitação
;;;;;;;;;;
85;   ;2021;;Projeto de Lei;;Dr. Antônio Aguiar;;Dispõe sobre a realização de adoções das necessárias providências para priorização de vacinas contra a COVID-19 para os genitores, tutores, cuidadores, técnicos de enfermagem e enfermeiros, que auxiliam nos cuidados de pessoas.;;Em Tramitação
;;;;;;;;;;
84;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Institui o projeto “Casa da Leitura” no âmbito no Município de Juiz de Fora e dá outras providências.;;Em Tramitação
;;;;;;;;;;
83;   ;2021;;Projeto de Lei;;Marlon Siqueira;;"Dispõe sobre denominação de logradouros públicos e dá outras providências. (Praça São Pedro; Rua Minas Gerais; Rua São Paulo; Rua Rio de Janeiro; Rua Teresina; Rua Maria de Lourdes; Rua César Franco; Rua Maria Aparecida; Rua Wanda)";;Em Tramitação
;;;;;;;;;;
82;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Acrescenta dispositivo no art. 2º da Lei n.º 7.035, de 16 de janeiro de 1987.;;Em Tramitação
;;;;;;;;;;
81;   ;2021;;Projeto de Lei;;Kátia Franco Protetora;;Dispõe sobre a concessão de Título de Cidadão Honorário de Juiz de Fora ao Exmo. Senhor Deputado Federal por Minas Gerais, Frederico Borges da Costa - Fred Costa .;;Transformado em Norma Jurídica
;;;;;;;;;;
80;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre concessão de Título Cidadão Benemérito. (Leonardo Ferreira de Freitas);;Em Tramitação
;;;;;;;;;;
79;   ;2021;;Projeto de Lei;;Tiago Bonecão;;   Dispõe sobre a instituição do Programa de  Valorização dos Profissionais do Sistema de  Limpeza Pública Urbana – “Garizinho” - no âmbito  do município de Juiz de Fora e dá outras providências.;;Em Tramitação
;;;;;;;;;;
78;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;“Institui o período nos meses de abril a julho a saúde oftalmológica nas escolas do ensino fundamental, do município de Juiz de Fora”.;;Em Tramitação
;;;;;;;;;;
77;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Fica autorizado a utilização de pulseira com “Código QR” para identificação e segurança das pessoas idosas e portadores de patologias mentais ou outras doenças que o Executivo determinar e dá outras providências.;;Em Tramitação
;;;;;;;;;;
76;   ;2021;;Projeto de Lei;;Tallia Sobral;;Dispõe sobre afixação de cartaz informativo nos serviços públicos do município de Juiz de Fora;;Em Tramitação
;;;;;;;;;;
75;   ;2021;;Projeto de Lei;;Pardal;;Declara como essenciais as atividades e aulas práticas dos cursos de saúde da educação superior no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
74;   ;2021;;Projeto de Lei;;Cido Reis;;Dispõe sobre a isenção da taxa de inscrição em concursos públicos municipais às pessoas cadastradas no Registro Brasileiro de Doadores de Medula Óssea (REDOME).;;Arquivada
;;;;;;;;;;
73;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre a criação do programa “Adote uma família” de incentivo a doação de cestas básicas.;;Em Tramitação
;;;;;;;;;;
72;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre a Estratégia para o retorno seguro às aulas no âmbito do enfrentamento da pandemia do coronavírus (Covid-19).;;Em Tramitação
;;;;;;;;;;
71;   ;2021;;Projeto de Lei;;Cido Reis;;Dispõe sobre a isenção do ISSQN dos profissionais que não prestaram serviços durante a decretação de emergência para enfrentamento do COVID-19.;;Em Tramitação
;;;;;;;;;;
70;   ;2021;;Projeto de Lei;;Pardal;;Dispõe sobre a suspensão temporária dos efeitos do Decreto Municipal nº 12.365, de 10 de junho de 2015.;;Em Tramitação
;;;;;;;;;;
69;   ;2021;;Projeto de Lei;;Maurício Delgado;;Dispõe sobre a obrigatoriedade de divulgação de lista de espera por vagas nas creches da Rede Municipal do Município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
68;   ;2021;;Projeto de Lei;;Kátia Franco Protetora;;Dispõe sobre o uso obrigatório de máscara ou cobertura facial sobre nariz e boca nos espaços públicos, equipamentos de transporte público coletivo e estabelecimentos comerciais, industriais e de serviços.;;Arquivada
;;;;;;;;;;
67;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Autoriza a criação do Programa de Incentivo à Doação de Cabelos para Pessoas em Tratamento de Câncer - Doe Esperança, no município de Juiz de Fora, e dá outras providências.;;Em Tramitação
;;;;;;;;;;
66;   ;2021;;Projeto de Lei;;Tiago Bonecão;;Institui o Programa Cultura é para Todos e da Outras Providencias;;Arquivada
;;;;;;;;;;
65;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre a afixação nos locais e nas condições que estabelece, da lista de medicamentos disponíveis na rede pública municipal de saúde do município de Juiz de Fora e dá outras providências.;;Em Tramitação
;;;;;;;;;;
64;   ;2021;;Projeto de Lei;;Laiz Perrut;;Institui a Política Municipal de aquisição de alimentos da agricultura familiar - Programa Comida Boa.;;Em Tramitação
;;;;;;;;;;
63;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre o uso de veículos do Transporte Escolar do município de Juiz de Fora, no transporte de profissionais da saúde e pessoas que necessitem de atendimento médico durante o período de enfrentamento de emergência da saúde pública, decorrente do coronavírus (COVID-19).;;Em Tramitação
;;;;;;;;;;
62;   ;2021;;Projeto de Lei;;Pardal;;Inclui o art. 33-A na Lei nº 12.345, de 04 de agosto de 2011 que “Dispõe sobre o Estatuto de Defesa, Controle e Proteção dos Animais no Município de Juiz de Fora e dá outras providências”.;;Em Tramitação
;;;;;;;;;;
61;   ;2021;;Projeto de Lei;;Tallia Sobral;;Dispõe sobre o acesso à informação acerca da Pandemia do Covid-19 no Município de Juiz de Fora.;;Transformado em Norma Jurídica
;;;;;;;;;;
60;   ;2021;;Projeto de Lei;;Sargento Mello Casal;;Revoga dispositivo da Lei Municipal 13.012 de 22 de julho de 2014;;Em Tramitação
;;;;;;;;;;
59;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Autoriza o Poder Executivo Municipal, a implantar o Programa “Corujão da Saúde” no âmbito do Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
58;   ;2021;;Projeto de Lei;;Juraci Scheffer;;Dispõe sobre denominação de logradouro público (Rua Farmacêutico Gunther Adolph Fassheber);;Transformado em Norma Jurídica
;;;;;;;;;;
57;   ;2021;;Projeto de Lei;;Tiago Bonecão;;Institui o Projeto Pintando o Futuro e da Outras Providencias;;Transformado em Norma Jurídica
;;;;;;;;;;
56;   ;2021;;Projeto de Lei;;Kátia Franco Protetora;;Proíbe a soltura de fogos de artifício e artefatos pirotécnicos com potencial de produzir danos à saúde e a vida, em espaços públicos ou privados e  ainda proíbe a comercialização de fogos de artifício com estampidos no Município de Juiz de Fora e dá outras providências;;Em Tramitação
;;;;;;;;;;
55;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Dispõe sobre a suspensão dos feriados e dos pontos facultativos no âmbito do Município de Juiz de Fora e dá outras providências.;;Em Tramitação
;;;;;;;;;;
54;   ;2021;;Projeto de Lei;;Cido Reis;;Denominação de logradouro público (GALERIA ZÉ KODAK);;Em Tramitação
;;;;;;;;;;
53;   ;2021;;Projeto de Lei;;Vagner de Oliveira, André Luiz, Dr. Antônio Aguiar, Cido Reis, Bejani Júnior, Zé Márcio, João Wagner, Julinho Rossignoli, Kátia Franco Protetora, Pardal, Maurício Delgado, Nilton Militão, Tiago Bonecão;;Dispõe sobre concessão de título de cidadania honorária. (Romeu Zema);;Transformado em Norma Jurídica
;;;;;;;;;;
