Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
4;   ;2020;;Projeto de Lei Complementar;;Ana Rossignoli, André Mariano, Cido Reis, Sargento Mello Casal, Zé Márcio, Kennedy Ribeiro, Juraci Scheffer, Júlio Obama Jr., Pardal, Marlon Siqueira, Wanderson Castelar;;Altera as Leis nº 12450, de 26 de dezembro de 2011 e Lei nº 6910 de 31 de maio de 1986, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
3;   ;2020;;Projeto de Lei Complementar;;André Mariano, Pardal;;Altera categoria de uso de loteamentos na região do Bairro Bom Pastor.;;Transformado em Norma Jurídica
;;;;;;;;;;
2;   ;2020;;Projeto de Lei Complementar;;Rodrigo Mattos;;Revoga a Lei Complementar n° 108, de 20 de dezembro de 2019.;;Arquivada
;;;;;;;;;;
1;   ;2020;;Projeto de Lei Complementar;;Pardal;;Altera a Lei Complementar n° 88, de 03 de dezembro de 2018.;;Transformado em Norma Jurídica
;;;;;;;;;;
18;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
17;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 8.118, de 17 de julho de 1992.;;Em Tramitação
;;;;;;;;;;
16;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
15;   ;2019;;Projeto de Lei Complementar;;Dr. Antônio Aguiar, Zé Márcio;;Altera a Lei Complementar n° 062 de 26 de junho de 2017.;;Em Tramitação
;;;;;;;;;;
14;   ;2019;;Projeto de Lei Complementar;;Wanderson Castelar;;Altera a lei nº 6910, de 31 de maio de 1986 e a lei Complementar nº 6, de 27 de novembro de 2013, quanto ao uso e ocupação do solo no bairro Aeroporto.;;Transformado em Norma Jurídica
;;;;;;;;;;
13;   ;2019;;Projeto de Lei Complementar;;Zé Márcio;;Acrescenta §3° ao artigo 1° da Lei Complementar nº 78 de 27 de abril de 2018.;;Em Tramitação
;;;;;;;;;;
12;   ;2019;;Projeto de Lei Complementar;;Zé Márcio;;Institui o Benefício ao Bom Pagador de IPTU no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
11;   ;2019;;Projeto de Lei Complementar;;Vagner de Oliveira;;Altera a lei 6910 de 31 de maio de 1986, e suas alterações posteriores, quanto ao uso e ocupação do solo.;;Transformado em Norma Jurídica
;;;;;;;;;;
10;   ;2019;;Projeto de Lei Complementar;;Dr. Adriano Miranda;;Altera a Lei Complementar nº 54 de 10 de agosto de 2016, que Dispõe sobre a relação de vaga de garagem por unidade autônoma.;;Arquivada
;;;;;;;;;;
9;   ;2019;;Projeto de Lei Complementar;;Dr. Fiorilo;;Proíbe o uso de área de fachada recuada de prédios em via pública, com rebaixo de meio fio, para estacionamento exclusivo para clientes no Município de Juiz de Fora, e dá outras providências.;;Arquivada
;;;;;;;;;;
8;   ;2019;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei 6910/86 quanto ao uso e ocupação do solo.;;Transformado em Norma Jurídica
;;;;;;;;;;
7;   ;2019;;Projeto de Lei Complementar;;Pardal, Marlon Siqueira;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
6;   ;2019;;Projeto de Lei Complementar;;Dr. Fiorilo;;Altera a redação do art. 1° da Lei n° 7.728, de 18 de maio de 1990, que Dispõe sobre a isenção de pagamento de taxas, acrescentando os arts. 1°-A, incisos I, II e III, 1°-B e 1°-C e dá outras providências.;;Arquivada
;;;;;;;;;;
5;   ;2019;;Projeto de Lei Complementar;;Zé Márcio, Juraci Scheffer;;Dispõe sobre o uso e ocupação do solo para as vias e para o loteamento que menciona.;;Em Tramitação
;;;;;;;;;;
4;   ;2019;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
3;   ;2019;;Projeto de Lei Complementar;;Kennedy Ribeiro;;Acrescenta o parágrafo único ao art. 97 da Lei n° 11.197, de 03 de agosto de 2006, que Institui o Código de Posturas no Município de Juiz de Fora e dá outras providências.;;Arquivada
;;;;;;;;;;
2;   ;2019;;Projeto de Lei Complementar;;Vagner de Oliveira, Dr. Fiorilo, Zé Márcio, Juraci Scheffer;;Dispõe sobre o uso do solo no loteamento que menciona.;;Transformado em Norma Jurídica
;;;;;;;;;;
1;   ;2019;;Projeto de Lei Complementar;;Dr. Antônio Aguiar;;Dispõe sobre a alteração da Lei n° 6.910 e as modificações posteriores.;;Transformado em Norma Jurídica
;;;;;;;;;;
22;   ;2018;;Projeto de Lei Complementar;;Dr. Adriano Miranda, Zé Márcio, Júlio Obama Jr.;;Altera o art. 8° da Lei 8.118, de 17 de julho de 1992, alterado pela Lei Complementar n° 074, de 12 de março de 2018.;;Transformado em Norma Jurídica
;;;;;;;;;;
21;   ;2018;;Projeto de Lei Complementar;;Zé Márcio;;Institui as Zonas Verdes no Município de Juiz de Fora.;;Transformado em Norma Jurídica
;;;;;;;;;;
20;   ;2018;;Projeto de Lei Complementar;;Sargento Mello Casal;;Altera a Lei n° 6910, de 31 de maio de 1986, que dispõe sobre o ordenamento de uso e ocupação do solo do Município de Juiz de Fora, no bairro Vila Ideal.;;Transformado em Norma Jurídica
;;;;;;;;;;
19;   ;2018;;Projeto de Lei Complementar;;Sargento Mello Casal, Zé Márcio;;Altera o inciso IV, do artigo 2° da Lei 10.318, de 16 de outubro de 2002.;;Em Tramitação
;;;;;;;;;;
18;   ;2018;;Projeto de Lei Complementar;;Delegada Sheila;;Dispõe sobre a alteração da Lei nº 6,910, de 31 de maio de 1986, de uso do solo.;;Arquivada
;;;;;;;;;;
17;   ;2018;;Projeto de Lei Complementar;;Vagner de Oliveira, Zé Márcio;;"""Autoriza atividades na Zona Especial 1, criada pela Lei Complementar 023 de 22 de junho de 2015"".";;Em Tramitação
;;;;;;;;;;
16;   ;2018;;Projeto de Lei Complementar;;Sargento Mello Casal, Charlles Evangelista, Vagner de Oliveira, Zé Márcio, Kennedy Ribeiro, Júlio Obama Jr., Marlon Siqueira;;Altera o anexo 7, da Lei n° 6910/86 e suas alterações posteriores, que dispõe sobre o uso e ocupação do solo e suas alterações posteriores.;;Transformado em Norma Jurídica
;;;;;;;;;;
15;   ;2018;;Projeto de Lei Complementar;;Dr. Adriano Miranda;;"Altera a Lei n° 6.910, de 31 de maio de 1986, que ""Dispõe sobre o ordenamento de uso e ocupação do solo do Município de Juiz de Fora"" no bairro Poço Rico, para inserir atividade em ZC-V - Zona Comercial -V.";;Transformado em Norma Jurídica
;;;;;;;;;;
14;   ;2018;;Projeto de Lei Complementar;;Pardal;;Altera o caput do artigo 17 da Lei n. 12.896, de 20 de dezembro de 2013.;;Arquivada
;;;;;;;;;;
13;   ;2018;;Projeto de Lei Complementar;;Marlon Siqueira;;Altera e acrescenta dispositivo na Lei nº. 9.210, de 22 de janeiro de 1998, alterada pela Lei nº.11.822, de 08 de setembro de 2009, e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
12;   ;2018;;Projeto de Lei Complementar;;Pardal;;Inclui Área de Especial Interesse Econômico - AEIE.;;Transformado em Norma Jurídica
;;;;;;;;;;
11;   ;2018;;Projeto de Lei Complementar;;Charlles Evangelista;;Institui a Política de Adoção de Praças Públicas e de Esportes, seus objetivos e processos, suas espécies e limitações das responsabilidades e dos benefícios dos adotantes.;;Transformado em Norma Jurídica
;;;;;;;;;;
10;   ;2018;;Projeto de Lei Complementar;;Sargento Mello Casal, Dr. Fiorilo;;Dispõe sobre a garantia de tempo para velório em caso de gratuidade, dispensa ou isenção de pagamento de taxas, emolumentos e tarifas, ao serviço funerário no Município de Juiz de Fora e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
9;   ;2018;;Projeto de Lei Complementar;;Kennedy Ribeiro;;Altera o caput do art. 110 e o caput do art. 114 da Lei n° 11.197, de 03 de agosto de 2006, que institui o Código de Posturas no Município de Juiz de Fora e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
8;   ;2018;;Projeto de Lei Complementar;;Pardal;;Insere o §5° no artigo 37 da Lei n. 9.212, de 27 de janeiro de 1998.;;Arquivada
;;;;;;;;;;
7;   ;2018;;Projeto de Lei Complementar;;Marlon Siqueira;;Altera a Lei Complementar nº 037, de 22 de dezembro de 2015, que alterou a Lei nº 9.228, de 02 de março de 1998, autorizando as atividades que menciona.;;Transformado em Norma Jurídica
;;;;;;;;;;
6;   ;2018;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei nº 6910, de 31 de maio de 1986, inserindo atividade que menciona no anexo 7.;;Transformado em Norma Jurídica
;;;;;;;;;;
5;   ;2018;;Projeto de Lei Complementar;;Dr. Fiorilo;;Altera a redação do art. 61 e seu parágrafo único da Lei nº 11.197, de 3 de agosto de 2006, que institui o Código de Posturas do Município de Juiz de Fora e dá outras providências.;;Arquivada
;;;;;;;;;;
4;   ;2018;;Projeto de Lei Complementar;;Dr. Adriano Miranda;;Acrescenta e altera atividades da categoria de uso do solo Industrial, constantes do Anexo 7 da Lei n. 6.910, de 31 de maio de 1986, que Dispõe sobre o ordenamento de uso e ocupação do solo do Município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
3;   ;2018;;Projeto de Lei Complementar;;Dr. Adriano Miranda;;Altera a redação do inciso VI do art. 70 da Lei n° 11.197, de 03 de agosto de 2006, que Institui o Código de Posturas no Município de Juiz de Fora e dá outras providências.;;Arquivada
;;;;;;;;;;
2;   ;2018;;Projeto de Lei Complementar;;Dr. Antônio Aguiar;;Altera a Redação do inciso I, do Art. 25 da. Lei nº 11.197 de 03 de agosto de 2006, que institui o Código de Posturas no Município de Juiz de Fora e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
1;   ;2018;;Projeto de Lei Complementar;;Pardal;;"""Altera a Lei nº 6910, de 31 de maio de 1986"".";;Transformado em Norma Jurídica
;;;;;;;;;;
53;   ;2017;;Projeto de Lei Complementar;;Dr. Adriano Miranda;;Dispõe sobre a obrigatoriedade de higienização de carrinhos e cestos de compras pelos supermercados e hipermercados e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
19;   ;2017;;Projeto de Lei Complementar;;Marlon Siqueira;;Altera a Lei nº 6.910, de 31 de maio de 1986, classificando como ZC5 - Zona Comercial 5 a rua que menciona.;;Em Tramitação
;;;;;;;;;;
18;   ;2017;;Projeto de Lei Complementar;;Cido Reis, Pardal;;Altera a Lei n° 11.987, de 05 de março de 2010.;;Arquivada
;;;;;;;;;;
17;   ;2017;;Projeto de Lei Complementar;;Sargento Mello Casal;;"""Altera Dispositivos da Lei N° 6.910 de 31 de Maio de 1986"".";;Transformado em Norma Jurídica
;;;;;;;;;;
16;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;"""Altera a lei 6910/1986 quanto ao uso e ocupação do solo no granjeamento Granjas Guarujá, no bairro Grama"".";;Transformado em Norma Jurídica
;;;;;;;;;;
15;   ;2017;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei Complementar 066 de 25 de julho de 2017.;;Arquivada
;;;;;;;;;;
14;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;Dispõe sobre o uso do solo nos loteamentos a que menciona.;;Transformado em Norma Jurídica
;;;;;;;;;;
13;   ;2017;;Projeto de Lei Complementar;;Cido Reis;;Altera a Lei 6910, de 31 de maio de 1986, quanto ao uso e ocupação do solo.;;Em Tramitação
;;;;;;;;;;
12;   ;2017;;Projeto de Lei Complementar;;Ana Rossignoli;;"""Altera a Lei 6910, de 31 de maio de 1986, anexo 7, Categorias de Uso do Solo"".";;Transformado em Norma Jurídica
;;;;;;;;;;
11;   ;2017;;Projeto de Lei Complementar;;Ana Rossignoli;;"""Altera a Lei 6910, de 31 de maio de 1986, quanto ao uso e ocupação do solo na Rua Marumbi, Bairro Marumbi"".";;Transformado em Norma Jurídica
;;;;;;;;;;
10;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;Dispõe sobre o Estudo de Impacto de Vizinhança - EIV.;;Transformado em Norma Jurídica
;;;;;;;;;;
9;   ;2017;;Projeto de Lei Complementar;;Dr. Adriano Miranda, Júlio Obama Jr.;;Altera os artigos 3º e 8º da Lei nº 8.118, de 17 de julho de 1992.;;Transformado em Norma Jurídica
;;;;;;;;;;
8;   ;2017;;Projeto de Lei Complementar;;Dr. Fiorilo;;"Dispõe sobre a comercialização de alimentos em ""Food Bike"" nos logradouros, praças e vias públicas e particulares e dá outras providências.";;Transformado em Norma Jurídica
;;;;;;;;;;
7;   ;2017;;Projeto de Lei Complementar;;Pardal;;Dispõe sobre a regularização de construções, reformas, modificações ou ampliações de edificações realizadas sem prévia licença da Prefeitura de Juiz de Fora e que não se enquadram nas Leis Municipais nos 6.909 e 6.910 de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
6;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;"""Dispõe sobre a cassação do Alvará Municipal de Funcionamento ou de qualquer outra Licença da Prefeitura do Município de Juiz de Fora para funcionamento de qualquer empresa que faça uso direto ou indireto de trabalho infantil ou escravo.""";;Em Tramitação
;;;;;;;;;;
5;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;Cria normas para certificação e divulgação da qualidade da água de fontes alternativas usadas para consumo humano.;;Transformado em Norma Jurídica
;;;;;;;;;;
4;   ;2017;;Projeto de Lei Complementar;;Pardal;;"""Altera a alínea ""a"", do artigo 7º, da Lei n. 12.530, de 19 de abril de 2012"".";;Em Tramitação
;;;;;;;;;;
3;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;"""Estabelece horário diferenciado de fechamento de bares, barzinhos, botequins, cervejarias e atividades similares reincidentes em infrações de posturas"".";;Transformado em Norma Jurídica
;;;;;;;;;;
2;   ;2017;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei n° 6910, de 31 de maio de 1986, classificando Zona de Uso e Ocupação do Solo.;;Transformado em Norma Jurídica
;;;;;;;;;;
1;   ;2017;;Projeto de Lei Complementar;;Zé Márcio;;"""Altera o rol de atividades permitidas em Zona Residencial — 2 e Zona Residencial - 3"".";;Transformado em Norma Jurídica
;;;;;;;;;;
14;   ;2016;;Projeto de Lei Complementar;;Zé Márcio;;Altera a Lei nº 6910, de 31 de maio de 1986, quanto ao uso e ocupação do solo no Bairro Benfica.;;Transformado em Norma Jurídica
;;;;;;;;;;
13;   ;2016;;Projeto de Lei Complementar;;Dr. Fiorilo;;Institui o programa de incentivo à produção de cervejas e chopes artesanais no âmbito do Município de Juiz de Fora e dá outras providências.;;Arquivada
;;;;;;;;;;
12;   ;2016;;Projeto de Lei Complementar;;André Mariano, Zé Márcio;;Altera dispositivos da Lei n.° 6.910, de 31 de maio de 1986.;;Transformado em Norma Jurídica
;;;;;;;;;;
11;   ;2016;;Projeto de Lei Complementar;;Pardal;;"""Altera o artigo 64 da Lei nº 8.710, de 31 de julho de 1995"".";;Arquivada
;;;;;;;;;;
10;   ;2016;;Projeto de Lei Complementar;;Pardal;;Altera a Lei n. 6.910, de 31 de maio de 1986.;;Arquivada
;;;;;;;;;;
9;   ;2016;;Projeto de Lei Complementar;;Zé Márcio;;"""Dispõe sobre a alteração dos artigos 24 e 34 da Lei nº 6.909, de 31 de maio de 1986"".";;Transformado em Norma Jurídica
;;;;;;;;;;
8;   ;2016;;Projeto de Lei Complementar;;Dr. Fiorilo;;Altera o caput e o § 1º do art. 10 da Lei nº 6.908, de 31 de maio de 1986 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
7;   ;2016;;Projeto de Lei Complementar;;Cido Reis;;"""Altera a Lei Municipal Nº 6.910 de 31 de maio de 1986 e dá outras providências"".";;Em Tramitação
;;;;;;;;;;
6;   ;2016;;Projeto de Lei Complementar;;Zé Márcio;;"""Dispõe sobre a comercialização de alimentos e cerveja e chopp artesanal de produção local, em logradouros, áreas e vias públicas e particulares, através de 'Food Trucks' e 'Beer Truck., e dá outras providências"".";;Transformado em Norma Jurídica
;;;;;;;;;;
5;   ;2016;;Projeto de Lei Complementar;;Zé Márcio;;"""Altera o Artigo 10 da Lei N.° 6908, de 31 de maio de 1986, e o Artigo 1º da Lei 8.301 de 24 de setembro de 1993"".";;Transformado em Norma Jurídica
;;;;;;;;;;
4;   ;2016;;Projeto de Lei Complementar;;Pardal;;"""Altera a Lei nº. 6.910, de 31 de maio de 1986"".";;Transformado em Norma Jurídica
;;;;;;;;;;
3;   ;2016;;Projeto de Lei Complementar;;Zé Márcio;;"""Dispõe sobre a transferência do direito de construir de imóveis protegidos por tombamento, estabelece incentivos, obrigações e sanções relativas à preservação dos mesmos e dá outras providências.""";;Transformado em Norma Jurídica
;;;;;;;;;;
2;   ;2016;;Projeto de Lei Complementar;;Zé Márcio;;"""Altera a lei 6.910 de 31 de maio de 1986 e a lei complementar n° 006 de 27 de novembro de 2013 quanto ao uso e ocupação do solo na região do Bairro São Pedro"".";;Transformado em Norma Jurídica
;;;;;;;;;;
