Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
102;   ;2021;;Moção;;Laiz Perrut;;Moção de Aplauso aos Profissionais do HPS;;Aprovado
;;;;;;;;;;
101;   ;2021;;Moção;;Kátia Franco Protetora;;Moção Policia Ambiental;;Aprovado
;;;;;;;;;;
100;   ;2021;;Moção;;Laiz Perrut;;Moção de Aplausos as Trabalhadoras da Casa da Mulher;;Aprovado
;;;;;;;;;;
99;   ;2021;;Moção;;Laiz Perrut;;Moção de Apoio ao PL 2564/2020 que estabelece piso salarial e carga horária de trabalho para enfermeiros, técnicos, auxiliares de enfermagem e parteiras;;Aprovado
;;;;;;;;;;
98;   ;2021;;Moção;;Kátia Franco Protetora;;Moção de aplausos aos Policias Penais.;;Aprovado
;;;;;;;;;;
97;   ;2021;;Moção;;Juraci Scheffer;;Moção de Pesar pelo lamentável falecimento do Ilustríssimo Sr. Dr. Alfredo Salomão, irmão da Excelentíssima Sra. Prefeita de Juiz de Fora, Professora Margarida Salomão;;Aprovado
;;;;;;;;;;
96;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE PESAR pelo falecimento do Sr. Delmar Werneck Moraes Filho (chinha).;;Aprovado
;;;;;;;;;;
95;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE PESAR pelo falecimento do doutor Alfredo Salomão Neto.;;Aprovado
;;;;;;;;;;
94;   ;2021;;Moção;;Vagner de Oliveira, Zé Márcio, Maurício Delgado, Tiago Bonecão;;Moção de Aplauso aos funcionários da Santa Casa de Misericordia de Juiz de Fora, do setor de tratamento do Covid-19;;Aprovado
;;;;;;;;;;
93;   ;2021;;Moção;;Kátia Franco Protetora;;Requeiro à Mesa, nos termos regimentais, ouvido o Plenário, seja aprovada a Moção de Aplausos à Ilma. Sra. Maria Lúcia Salim Miranda Machado pelo brilhantismo à frente da Secretária de Desenvolvimento Social - SDS  e a presteza com que responde as soliciações à mesma apresentada. Nos termos do art. 176 do Regimento Interno desta Casa Legislativa, vê-se que a presente se justifica como forma de expressão do pensamento da Câmara Municipal, merecendo ser apreciado e deliberado pelos nobres Edis este reconhecimento, seja aprovada a Moção de Aplausos à senhora Marcelina do Nascimento;;Aprovado
;;;;;;;;;;
92;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos a Serpa Piscinas em reconhecimento aos seus 51 anos de história no município de Juiz de Fora.;;Aprovado
;;;;;;;;;;
91;   ;2021;;Moção;;Tiago Bonecão;;Moção de Aplausos a Academia Dynamo Fitnes Center;;Aprovado
;;;;;;;;;;
90;   ;2021;;Moção;;Laiz Perrut;;Moção de Pesar pelo falecimento de Nair Pinto de Rezende Oliveira, mãe da Vereadora Cida Oliveira;;Aprovado
