Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
4298;   ;2017;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a denominação de logradouro público e estabelece zona de uso e ocupação do solo para as vias que menciona.;;Transformado em Norma Jurídica
;;;;;;;;;;
4286;   ;2017;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera o art. 21, da Lei nº 11.197, de 03 de agosto de 2006 e dá outras providências.;;Arquivada
;;;;;;;;;;
4279;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Institui o Código Sanitário Municipal de Juiz de Fora e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4276;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Acrescenta os §§ 5º e 6º ao art. 1º, da Lei Complementar nº 048, de 1º de julho de 2016 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4270;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera a denominação do cargo de provimento em comissão de Chefe de Departamento para Gerente e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4267;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a Política de Desenvolvimento Urbano e Territorial, o Sistema Municipal de Planejamento do Território e a revisão do PDP/JF de Juiz de Fora conforme o disposto na Constituição Federal e no Estatuto da Cidade e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4263;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe excepcionalmente sobre a garantia prevista pelo inc. VII, do art. 31, da Lei Municipal nº 6.908, de 31 de maio de 1986, com redação dada pela Lei nº 9.164, de 05 de dezembro de 1997.;;Transformado em Norma Jurídica
;;;;;;;;;;
4260;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Institui a Função Pública de Autoridade Sanitária em Vigilância Sanitária, cria a Gratificação pelo exercício da função pública de Autoridade Sanitária em Vigilância Sanitária (GAS) e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4259;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Institui no Município de Juiz de Fora o Incentivo Financeiro para o Desenvolvimento do Plano Diretor de Atenção Primária à Saúde (PDAPS) através do Programa Nacional de Melhoria do Acesso e da Qualidade de Atenção Básica (PMAQ-AB) abrigando ou não Saúde Bucal e para o Programa Nacional de Melhoria do Acesso e da Qualidade dos Centros de Especialidades Odontológicas (PMAQ-CEO), cria a Gratificação de Incentivo à Produtividade na Atenção Primária e nos Centros de Especialidades Odontológicas (GIP) e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4248;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;"Estabelece critérios para o cumprimento da jornada semanal de trabalho dos Cirurgiões-Dentistas integrantes do quadro de servidores da Administração Direta do Município, de acordo com as atividades exercidas na rede SUS/JF; altera dispositivos da Lei nº 8.710, de 31 de julho de 1995 e da Lei nº 9.212, de 27 de janeiro de 1998 e dá outras providências.";;Transformado em Norma Jurídica
;;;;;;;;;;
4245;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a criação da Gratificação pelo exercício de Plantão Médico por profissionais da carreira de Médico (GPM) e da Gratificação de Coordenação de Especialidades nos setores de Urgência e Emergência (GCE) e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4240;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Acrescenta dispositivo da Lei Municipal nº 8.710, de 31 de julho de 1995 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4239;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera os arts. 21,84,89,90 e 113, da lei Municipal nº 8.710, de 31 de junho de 1995 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4228;   ;2016;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a concordância com retificações de registros imobiliários de imóveis implantados em desconformidade com o plano de loteamento aprovado e registrado.;;Transformado em Norma Jurídica
;;;;;;;;;;
4221;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera a Lei nº 8.710, de 31 de julho de 1995, a Lei nº 9.212, de 27 de janeiro de 1998 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4196;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera os arts. 1º, 2º, 3º e 9º da Lei nº 12.325, de 20 de julho de 2011, os arts. 61 e 197 da Lei nº 8.710, de 31 de julho de 1995 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4187;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a criação da gratificação pelo exercício de plantão médico por profissionais da carreira de Médico e dá outras providências.;;Arquivada
;;;;;;;;;;
4181;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre o prazo para cumprimento do encargo referido no art. 1º, da Lei nº 11.325, de 28 de fevereiro de 2007 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4178;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a criação do Adicional de Participação em Equipe de Apoio de Coleta de Resíduos (APAC) e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
