"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"593",83,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Declara o tombamento da Represa de São Pedro, conhecida como Represa dos Ingleses ou Cruzeiro de Santo Antonio situada no Bairro São Pedro e seus mananciais como meio ambiente paisagístico e natural, nos termos dos artigos 216 e 225 da Constituição Federal, bem como o artigo 1º, parágrafo 2º do Decreto Lei 25 de 1937.",NA,"Em Tramitação"
"594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",82,"   ",2019,NA,"Projeto de Lei",NA,"André Mariano, Júlio Obama Jr.",NA,"Institui o Maio Laranja, a ser realizado a cada ano, em todo Município de Juiz de Fora, no mês de maio, quando serão efetivadas ações relacionadas ao combate ao abuso e à exploração sexual de crianças e adolescentes.",NA,"Transformado em Norma Jurídica"
"596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597",81,"   ",2019,NA,"Projeto de Lei",NA,"Wagner do Sindicato",NA,"Institui o Dia Municipal do deficiente Visual no âmbito do Município de Juiz de Fora e dá outras providências.",NA,"Transformado em Norma Jurídica"
"598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",80,"   ",2019,NA,"Projeto de Lei",NA,"Rodrigo Mattos",NA,"Dispõe sobre a concessão de Título de Cidadão Benemérito (Coronel Carlos Henrique Guedes).",NA,"Transformado em Norma Jurídica"
"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601",79,"   ",2019,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Proíbe o ingresso no Quadro de Pessoal da Administração Pública municipal Direta e Indireta, para todos os cargos em comissão de livre nomeação e exoneração, pessoa que tenham praticado crime contra idosos, crianças ou mulheres.",NA,"Arquivada"
"602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",78,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Dispõe sobre a concessão de Título Honorífico a ilustríssima senhora e ex-vereadora Maria Aparecida Louzada — Cidinha Louzada",NA,"Transformado em Norma Jurídica"
"604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605",77,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Dispõe sobre denominação de Logradouro Público (Travessa José Barbosa Filho).",NA,"Transformado em Norma Jurídica"
"606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
